algorithm_name,parameter_name,parameter_value,avg_fitness,std_fitness
FA,gamma,0.18,121.20325768067661,10.349610500386804
FA,gamma,0.19,120.7080416391833,8.189873553325752
ABC,limit,10.0,0.14236040674445619,0.11719766449628671
ABC,limit,20.0,0.00021075263384284082,0.00021738095319224712
ABC,limit,30.0,5.0387462825673644e-05,4.447269272614497e-05
ABC,limit,40.0,1.6717491147884613e-05,1.0684609291761548e-05
ABC,limit,50.0,1.6770101059780394e-05,1.1482208490815678e-05
ABC,limit,60.0,1.743052987461854e-05,9.672930824061821e-06
ABC,limit,70.0,1.9826305459547524e-05,1.831625174316767e-05
ABC,limit,80.0,1.332523669701654e-05,6.9856007379540345e-06
ABC,limit,90.0,1.3001584201180881e-05,1.0128677852801229e-05
Cuckoo,pa,0.1,0.3069096510045628,0.08429588293852767
Cuckoo,pa,0.15,0.31131845524958085,0.06803912964793087
Cuckoo,pa,0.2,0.30245478202390264,0.06657539832911648
Cuckoo,pa,0.25,0.3758822133902597,0.09915997952501197
Cuckoo,pa,0.3,0.4116725898510876,0.11929461513252183
Cuckoo,pa,0.35,0.4881558084903273,0.09539476907439871
Cuckoo,pa,0.4,0.4982993100283711,0.07731087304549854
Cuckoo,pa,0.45,0.5580860361977577,0.12866467217881764
Cuckoo,pa,0.5,0.5625245664405141,0.1443035362206753
Cuckoo,pa,0.55,0.612646202953157,0.09023350306228821
Cuckoo,pa,0.6,0.5921209687794458,0.08483705254617152
Cuckoo,pa,0.65,0.6179413165202077,0.07967337966501008
Cuckoo,pa,0.7,0.6756596609916445,0.12036565539421895
Cuckoo,pa,0.75,0.6211966839721154,0.07322426038148848
Cuckoo,pa,0.8,0.58358798205464,0.1010921830313267
Cuckoo,pa,0.85,0.5754578006435758,0.09580982279447751
Cuckoo,alpha,0.01,0.3971280826057965,0.0812756883383616
Cuckoo,alpha,0.06,0.012310610822030697,0.0021338059413536586
Cuckoo,alpha,0.11,0.0026224171222579604,0.000681151196772796
Cuckoo,alpha,0.16,0.0016747726350939626,0.00048334509466912913
Cuckoo,alpha,0.21,0.002109226380909192,0.0005732087585554794
Cuckoo,alpha,0.26,0.0026580105222784338,0.0008508246867184805
Cuckoo,alpha,0.31,0.0038561780761934604,0.0009253874421929364
Cuckoo,alpha,0.36,0.00850821177773432,0.002162974591986165
Cuckoo,alpha,0.41,0.01371419536446514,0.0026014596026180652
Cuckoo,alpha,0.46,0.02280372517797722,0.010540364913385036
Cuckoo,beta,0.3,1.2824385140177363,0.3379407449465709
Cuckoo,beta,0.4,0.6010643688226789,0.12817405803727797
Cuckoo,beta,0.5,0.19125210048515282,0.04920327054285553
Cuckoo,beta,0.6,0.06315507675352079,0.013050932808083749
Cuckoo,beta,0.7,0.03290637796932615,0.010053883511220283
Cuckoo,beta,0.8,0.037818373383543116,0.009702515201181369
Cuckoo,beta,0.9,0.05040974114863892,0.018952827844301825
Cuckoo,beta,1.0,0.06993470407768262,0.014977328417270463
Cuckoo,beta,1.1,0.11334062764557806,0.025663095085827384
Cuckoo,beta,1.2,0.15483709608993185,0.023992115791577593
Cuckoo,beta,1.3,0.2175812170303478,0.05770318778559438
Cuckoo,beta,1.4,0.32405199177492017,0.0946528665916111
Cuckoo,beta,1.5,0.4250718694087105,0.09550421310396769
Cuckoo,beta,1.6,0.4853989792332435,0.12421530192375721
Cuckoo,beta,1.7,0.6110804382175098,0.16089112023133725
Cuckoo,beta,1.8,0.673320770656354,0.22112758969775168
Cuckoo,beta,1.9,0.7374698386046552,0.13937227412935288
